id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931,-122.43386,Entire home/apt,170,1,185,2019-04-17,1.55,1,27
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511,-122.42102,Entire home/apt,235,30,111,2017-08-06,0.91,1,0
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76669,-122.4525,Private room,65,32,17,2016-11-21,0.14,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487,-122.45183,Private room,65,32,8,2018-09-12,0.14,9,317
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77525,-122.43637,Entire home/apt,785,7,27,2018-08-11,0.23,2,90
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78471,-122.44555,Entire home/apt,255,2,32,2019-03-30,0.27,1,29
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75919,-122.42237,Private room,139,1,665,2019-04-30,5.60,2,149
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76259,-122.40543,Private room,135,1,466,2019-04-30,4.02,1,305
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874,-122.41327,Entire home/apt,265,3,330,2019-04-17,2.81,1,211
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187,-122.43859,Entire home/apt,177,30,37,2018-12-01,0.32,39,276
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355,-122.42436,Entire home/apt,194,30,14,2018-08-25,0.16,39,278
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,139,30,19,2018-12-15,0.25,39,214
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77019,-122.44594,Private room,85,32,6,2018-09-20,0.06,9,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894,-122.44778,Private room,85,32,5,2015-10-18,0.07,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76075,-122.43032,Private room,79,3,396,2019-04-24,3.50,1,21
12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",49383,Tom,,Inner Sunset,37.76203,-122.45455,Entire home/apt,122,30,16,2018-11-18,0.20,1,365
14125,Gallery Residence,55475,Olivia,,Mission,37.75491,-122.42246,Entire home/apt,215,3,107,2019-04-05,0.95,1,281
17132,Luxury 2BR suite with waterview,43185,Hijin + David,,South of Market,37.78647,-122.39072,Entire home/apt,450,90,14,2016-09-29,0.14,1,354
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene & Leon,,Noe Valley,37.74888,-122.42982,Entire home/apt,107,30,61,2018-12-31,0.56,1,184
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252,-122.43216,Private room,110,3,368,2019-04-01,4.08,2,54
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7958,-122.41533,Entire home/apt,125,30,119,2019-02-05,1.09,1,336
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.7648,-122.45251,Private room,65,32,14,2017-08-16,0.15,9,365
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556,-122.41207,Private room,100,3,238,2019-04-12,2.16,2,354
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75963,-122.44143,Entire home/apt,155,3,360,2019-04-22,3.33,1,205
24390,Mission Studio,98733,David + Tina,,Mission,37.75146,-122.41248,Entire home/apt,95,42,69,2019-04-26,0.67,1,131
24450,Atelier Noe 25 Studio in Noe Valley,99058,Judith,,Noe Valley,37.74885,-122.43673,Entire home/apt,180,3,227,2019-04-27,2.07,1,76
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75645,-122.3991,Private room,155,2,277,2019-04-19,2.55,2,157
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77162,-122.43836,Private room,79,1,189,2019-04-27,1.77,1,268
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716,-122.43386,Entire home/apt,195,5,289,2019-04-24,2.62,2,18
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.74188,-122.43122,Private room,150,5,29,2019-04-30,0.83,1,348
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77729,-122.43421,Private room,110,3,402,2019-03-22,3.88,2,50
25662,"Convenient, quiet, private",106005,Gayle,,Potrero Hill,37.76212,-122.39541,Private room,125,4,298,2018-12-25,2.78,1,272
25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",109045,Ronda,,Western Addition,37.78895,-122.43031,Private room,110,2,78,2019-03-23,0.92,3,364
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.77478,-122.4315,Entire home/apt,450,3,32,2019-03-25,0.34,1,19
27025,"Elegant, Edwardian Apartment in the Castro/Eureka Valley",115673,Luis,,Castro/Upper Market,37.76298,-122.43136,Entire home/apt,165,30,129,2018-03-31,1.18,1,173
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76098,-122.42158,Private room,199,1,25,2018-09-30,0.51,2,0
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73729,-122.41163,Entire home/apt,220,4,13,2019-01-06,0.14,2,58
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77931,-122.50518,Entire home/apt,155,2,39,2019-04-13,0.37,1,220
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025,-122.41259,Entire home/apt,150,30,93,2018-05-31,0.87,1,269
38607,Beautiful Upscale House Private BR,165574,Jonathan,,Presidio Heights,37.78197,-122.45809,Private room,119,2,197,2019-01-06,1.84,5,72
39174,Bette's New Place,127367,Annette,,Noe Valley,37.7483,-122.42488,Entire home/apt,107,30,20,2017-08-25,0.21,21,365
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.74093,-122.42055,Entire home/apt,94,60,21,2017-08-05,0.22,2,365
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016,-122.41969,Entire home/apt,108,30,97,2019-03-19,0.92,2,22
40138,Peaceful room in yoga teacher's colorful apt.,172306,Ay,,Presidio Heights,37.78255,-122.44844,Private room,83,30,136,2019-01-12,1.33,1,260
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125,-122.43335,Entire home/apt,159,4,46,2019-04-15,0.44,2,38
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74083,-122.41763,Private room,129,3,229,2019-04-22,2.17,1,309
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73557,-122.43302,Entire home/apt,136,30,146,2018-09-01,1.38,1,336
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001,-122.41292,Entire home/apt,170,30,13,2018-03-31,0.13,1,145
42403,Captain's Quarters,127367,Annette,,Bernal Heights,37.73356,-122.41851,Entire home/apt,85,30,6,2017-06-01,0.07,21,336
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.73404,-122.41781,Entire home/apt,85,30,4,2016-04-06,0.04,21,124
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447,-122.38813,Entire home/apt,150,30,2,2017-08-20,0.03,21,260
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.77272,-122.44084,Entire home/apt,120,30,8,2018-07-14,0.08,21,268
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75121,-122.42165,Entire home/apt,175,31,3,2010-10-04,0.03,1,67
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068,-122.43331,Entire home/apt,116,3,124,2019-04-21,1.17,2,1
45956,Central in SF - Victorian Classic Home - 5 Stars,202591,Jose  Jeffrey,,Western Addition,37.77248,-122.43016,Private room,125,1,105,2019-04-17,1.32,3,50
47486,CACTUS COTTAGE  with easy parking/public transp.,215133,Richard,,Ocean View,37.72536,-122.46861,Entire home/apt,78,30,29,2018-12-21,0.28,1,240
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.7925,-122.42431,Entire home/apt,120,30,26,2019-04-05,0.25,9,246
51073,In the Heart of San Francisco,234859,Michelle,,South of Market,37.77116,-122.42199,Private room,160,2,151,2019-01-19,1.45,2,0
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.77121,-122.42834,Entire home/apt,119,30,106,2019-03-16,1.01,1,292
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79312,-122.426,Private room,55,30,160,2019-03-02,1.64,9,278
52713,Nob Hill room with a great view,244235,Michael,,Nob Hill,37.79667,-122.41272,Private room,99,30,166,2018-08-11,1.59,1,88
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73878,-122.41189,Private room,90,3,130,2019-04-14,1.25,2,223
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.7933,-122.40079,Entire home/apt,210,30,17,2018-10-31,0.18,1,213
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166,-122.4265,Entire home/apt,115,30,38,2019-01-07,0.36,9,292
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77959,-122.48619,Entire home/apt,116,30,10,2017-05-21,0.10,3,264
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74889,-122.44479,Entire home/apt,116,30,27,2019-04-21,0.26,3,287
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79216,-122.42458,Private room,55,30,122,2019-04-30,1.18,9,253
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.7472,-122.41443,Entire home/apt,175,30,213,2019-01-26,2.06,1,279
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762,-122.41933,Private room,99,2,112,2019-04-17,1.15,4,16
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75504,-122.45871,Entire home/apt,350,2,0,,,1,100
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565,-122.42864,Entire home/apt,135,2,308,2019-04-26,3.01,1,237
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031,-122.41596,Private room,109,2,221,2019-04-16,2.28,4,42
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74209,-122.41409,Private room,150,2,186,2019-04-19,1.94,1,333
59831,Lovely quiet private room in Home ,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,365
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74183,-122.42993,Private room,85,3,36,2019-03-08,0.70,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76245,-122.42432,Entire home/apt,1100,3,54,2019-02-17,0.57,1,315
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74926,-122.41398,Entire home/apt,166,2,303,2019-04-18,2.97,1,326
63405,Private Suite in Mission,142882,Jessica And Sebouh,,Mission,37.754,-122.41771,Entire home/apt,125,2,215,2019-04-11,2.18,4,183
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317,-122.42874,Private room,90,30,65,2018-12-23,0.69,1,289
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77798,-122.47812,Entire home/apt,95,30,96,2018-09-30,1.01,1,336
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77719,-122.50906,Entire home/apt,216,30,12,2018-02-18,0.12,21,237
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Felipe,,Mission,37.75426,-122.42387,Entire home/apt,326,31,35,2018-05-31,0.36,1,365
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77442,-122.46319,Entire home/apt,80,30,52,2019-04-12,0.54,1,244
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73027,-122.42644,Private room,46,30,39,2018-06-01,0.39,14,250
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128,-122.42478,Private room,45,30,26,2017-09-01,0.27,14,275
