id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931,-122.43386,Entire home/apt,170,1,222,2019-10-12,1.77,1,72
3850,Charming room for two,4921,Kevin,,Inner Sunset,37.75402,-122.45805,Private room,99,1,167,2019-10-28,1.33,3,62
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511,-122.42102,Entire home/apt,235,30,111,2017-08-06,0.87,1,0
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76669,-122.4525,Private room,65,32,18,2019-09-10,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487,-122.45183,Private room,65,32,8,2018-09-12,0.13,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77525,-122.43637,Entire home/apt,875,5,28,2019-06-28,0.23,2,89
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75919,-122.42237,Private room,139,1,707,2019-10-25,5.66,2,147
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76259,-122.40543,Private room,135,1,517,2019-10-24,4.24,1,339
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874,-122.41327,Entire home/apt,225,30,337,2019-05-27,2.73,1,335
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79143,-122.41544,Entire home/apt,120,30,18,2015-05-17,0.19,1,350
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187,-122.43859,Entire home/apt,177,30,37,2018-12-01,0.30,41,364
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355,-122.42436,Entire home/apt,194,30,15,2019-08-18,0.16,41,304
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,139,30,19,2018-12-15,0.23,41,358
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77019,-122.44594,Private room,85,32,6,2018-09-20,0.06,9,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894,-122.44778,Private room,85,32,5,2015-10-18,0.06,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76075,-122.43032,Private room,79,3,416,2019-10-23,3.49,1,7
12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",49383,Tom,,Inner Sunset,37.76203,-122.45455,Entire home/apt,122,30,17,2019-08-31,0.20,1,310
14125,Gallery Residence,55475,Olivia,,Mission,37.75491,-122.42246,Entire home/apt,215,3,116,2019-10-27,0.97,1,309
17132,Luxury 2BR suite with waterview,43185,Hijin + David,,South of Market,37.78647,-122.39072,Entire home/apt,450,90,14,2016-09-29,0.13,1,365
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene & Leon,,Noe Valley,37.74888,-122.42982,Entire home/apt,107,30,62,2019-05-31,0.54,1,335
18904,Tranquil Lower Haight w/pvt bath,72464,Patrick,,Western Addition,37.77252,-122.43216,Private room,110,2,402,2019-10-27,4.17,2,62
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7958,-122.41533,Entire home/apt,125,30,119,2019-02-05,1.03,1,358
21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.7648,-122.45251,Private room,65,32,14,2017-08-16,0.14,9,365
23611,Bernal Heights Gem with Fab Views !,18732,Cecilia,,Bernal Heights,37.74556,-122.41207,Private room,98,3,252,2019-09-28,2.17,1,340
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75963,-122.44143,Entire home/apt,155,3,392,2019-10-13,3.43,1,292
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75645,-122.3991,Private room,158,2,294,2019-10-17,2.56,2,160
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77162,-122.43836,Private room,79,1,199,2019-10-20,1.76,1,310
24723,Apartment-like rooms in PacHeights,100800,Cynthia,,Western Addition,37.78716,-122.43386,Entire home/apt,195,5,316,2019-10-26,2.71,2,70
25094,San Francisco's Luxury Oasis On Noe,103339,Bruce,,Noe Valley,37.74188,-122.43122,Private room,150,5,39,2019-10-07,0.95,1,348
25463,Modern Zen in the Lower Haight,72464,Patrick,,Western Addition,37.77729,-122.43421,Private room,110,3,432,2019-10-27,3.93,2,66
25662,"Convenient, quiet, private",106005,Gayle,,Potrero Hill,37.76212,-122.39541,Private room,125,4,313,2019-10-03,2.77,1,285
26408,Huge Central Victorian/Alamo Square,111141,Isabella,,Western Addition,37.77478,-122.4315,Entire home/apt,450,3,34,2019-10-15,0.34,1,14
27025,"Elegant, Edwardian Apartment in the Castro/Eureka Valley",115673,Luis,,Castro/Upper Market,37.76298,-122.43136,Entire home/apt,125,30,132,2019-09-15,1.14,1,58
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76098,-122.42158,Private room,199,1,27,2019-07-28,0.49,2,3
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73729,-122.41163,Entire home/apt,220,4,16,2019-08-15,0.16,2,41
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77931,-122.50518,Entire home/apt,155,2,58,2019-10-08,0.52,1,261
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025,-122.41259,Entire home/apt,150,30,94,2019-09-29,0.83,1,271
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76526,-122.3973,Entire home/apt,240,1,576,2019-10-31,5.19,2,330
39174,Bette's New Place,127367,Annette,,Noe Valley,37.7483,-122.42488,Entire home/apt,107,30,21,2019-09-30,0.21,18,365
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.74093,-122.42055,Entire home/apt,94,60,22,2019-08-20,0.22,2,323
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016,-122.41969,Entire home/apt,108,30,97,2019-03-19,0.87,2,92
40138,Peaceful room in yoga teacher's colorful apt.,172306,Ay,,Presidio Heights,37.78255,-122.44844,Private room,67,30,137,2019-08-17,1.26,1,304
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125,-122.43335,Entire home/apt,159,4,54,2019-07-24,0.48,2,4
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74083,-122.41763,Private room,127,3,257,2019-10-22,2.30,1,332
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75611,-122.41866,Entire home/apt,290,30,80,2019-10-28,0.94,1,291
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73557,-122.43302,Entire home/apt,136,30,148,2019-08-08,1.32,1,252
42403,Captain's Quarters,127367,Annette,,Bernal Heights,37.73356,-122.41851,Entire home/apt,85,30,6,2017-06-01,0.06,18,347
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.73404,-122.41781,Entire home/apt,85,30,4,2016-04-06,0.04,18,304
42454,Bookish Mission District Flat with backyard,177664,Gerard,,Mission,37.75117,-122.41326,Entire home/apt,104,10,11,2019-08-19,0.12,1,59
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447,-122.38813,Entire home/apt,150,30,2,2017-08-20,0.03,18,364
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.77272,-122.44084,Entire home/apt,110,30,8,2018-07-14,0.07,18,326
44032,Secret Lounge in The Mission,98733,David + Tina,,Mission,37.75145,-122.41207,Entire home/apt,95,30,283,2019-08-25,2.53,1,143
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75121,-122.42165,Entire home/apt,175,30,3,2010-10-04,0.03,1,119
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068,-122.43331,Entire home/apt,116,3,141,2019-10-16,1.26,2,2
47486,CACTUS COTTAGE  with easy parking/public transp.,215133,Richard,,Ocean View,37.72536,-122.46861,Entire home/apt,78,30,31,2019-10-11,0.28,1,6
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.7925,-122.42431,Entire home/apt,120,30,27,2019-08-31,0.24,9,344
51374,2BR in heart of SF. Golden views!,236023,Tom,,Inner Sunset,37.76519,-122.45613,Entire home/apt,9999,365,8,2012-11-13,0.07,1,365
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.77121,-122.42834,Entire home/apt,119,30,107,2019-09-05,0.97,1,330
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79312,-122.426,Private room,55,30,163,2019-10-17,1.58,9,273
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73878,-122.41189,Private room,90,3,143,2019-10-14,1.30,2,279
53934,ATTN INTERNS AND STUDENTS:  URBAN RAINBOW CONDO,252376,Megan,,Downtown/Civic Center,37.78775,-122.41634,Entire home/apt,163,80,232,2019-04-13,2.11,2,130
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.7933,-122.40079,Entire home/apt,185,30,18,2019-08-18,0.18,1,282
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166,-122.4265,Entire home/apt,115,30,40,2019-07-18,0.36,9,273
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77959,-122.48619,Entire home/apt,112,30,10,2017-05-21,0.09,2,244
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74889,-122.44479,Entire home/apt,116,30,27,2019-04-21,0.25,2,273
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79216,-122.42458,Private room,55,30,123,2019-08-24,1.12,9,315
56715,Downtown Rainbow,252376,Megan,,Downtown/Civic Center,37.78816,-122.41722,Entire home/apt,187,3,88,2019-09-01,0.81,2,1
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Haight Ashbury,37.77459,-122.43923,Entire home/apt,200,90,152,2018-02-25,1.39,1,362
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.7472,-122.41443,Entire home/apt,175,30,216,2019-10-05,1.98,1,331
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762,-122.41933,Private room,99,30,122,2019-09-21,1.18,3,60
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565,-122.42864,Entire home/apt,135,2,339,2019-10-25,3.13,1,127
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031,-122.41596,Private room,109,2,245,2019-10-26,2.37,4,0
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74209,-122.41409,Private room,150,30,192,2019-07-20,1.88,1,359
59831,Lovely quiet private room in Home ,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,365
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.76966,-122.43496,Entire home/apt,475,4,202,2019-10-17,1.87,1,149
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74183,-122.42993,Private room,85,2,37,2019-10-14,0.64,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76245,-122.42432,Entire home/apt,950,3,55,2019-09-28,0.54,1,327
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74926,-122.41398,Entire home/apt,166,2,369,2019-10-14,3.42,1,350
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317,-122.42874,Private room,90,30,67,2019-08-12,0.67,2,364
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77798,-122.47812,Entire home/apt,80,30,98,2019-10-19,0.97,2,304
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77719,-122.50906,Entire home/apt,216,30,13,2019-10-13,0.13,18,365
66664,lovely 1 BEDROOM: GG Park/UCSF,252184,Oded,,Inner Sunset,37.7571,-122.46594,Entire home/apt,90,30,44,2017-04-04,0.41,1,73
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75426,-122.42387,Entire home/apt,326,30,37,2019-10-08,0.36,1,347
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77442,-122.46319,Entire home/apt,80,30,52,2019-04-12,0.50,1,304
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73027,-122.42644,Private room,46,30,39,2018-06-01,0.37,14,344
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128,-122.42478,Private room,37,30,27,2019-08-12,0.26,14,315
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77707,-122.50923,Entire home/apt,185,30,7,2018-01-14,0.07,18,334
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74527,-122.42424,Entire home/apt,108,30,10,2016-08-20,0.11,1,152
70284,Monthly Shared Home for Students 1,329072,Darren & Friends,,Chinatown,37.79364,-122.40635,Shared room,30,30,15,2019-09-17,0.15,20,273
70753,Dorm Bed In Friendly Hostel Community #1,329072,Darren & Friends,,Financial District,37.79447,-122.4045,Shared room,45,1,391,2019-10-23,3.67,20,70
71645,Bernal Heights Northslope Studio,367464,Jeff,,Bernal Heights,37.74578,-122.40841,Private room,109,3,145,2019-10-21,3.25,1,299
71779,ｽﾀｼﾞｵｱﾊﾟｰﾄ,368770,Fukuko,,Inner Richmond,37.77625,-122.46466,Entire home/apt,80,30,2,2011-09-30,0.02,1,303
72365,Cozy loft in the center of SF. F1A,374909,Eric,,Western Addition,37.77518,-122.43334,Entire home/apt,90,30,97,2019-09-07,0.92,11,344
